board,point_total,total_num_words,7_or_longer,10_or_longer
"[['N', 'T', 'S', 'O'], ['E', 'G', 'O', 'N'], ['R', 'E', 'H', 'A'], ['I', 'C', 'R', 'I']]",138000,258,"['GENTOOS', 'GHERAOS', 'ARCHONS', 'REGRETS', 'GERENTS', 'NARCEEN', 'REGENTS', 'RERENTS', 'CRETONS']",[]
"[['S', 'D', 'N', 'A'], ['E', 'O', 'N', 'E'], ['T', 'R', 'I', 'F'], ['I', 'L', 'U', 'L']]",178300,302,"['ENDNOTES', 'ENFIRED', 'TRIODES', 'DERNFUL', 'DOILTER', 'NORITES', 'TERNION', 'SETLINE', 'URINOSE', 'FLINDER', 'FLIRTED', 'ENFIRES', 'TORULIN', 'ENDNOTE', 'TOILFUL', 'ENDERON', 'SOILURE']",[]
"[['R', 'B', 'I', 'L'], ['E', 'A', 'C', 'B'], ['I', 'L', 'S', 'E'], ['U', 'R', 'C', 'T']]",125000,220,"['ESCALIER', 'LIBERALS', 'LIBERAL', 'SCALIER', 'ECLAIRS', 'RELACES', 'BELACES']",[]
"[['H', 'T', 'E', 'I'], ['P', 'H', 'F', 'A'], ['I', 'T', 'C', 'E'], ['O', 'B', 'C', 'S']]",20800,67,[],[]
"[['E', 'M', 'O', 'T'], ['P', 'P', 'F', 'S'], ['I', 'W', 'A', 'E'], ['W', 'K', 'A', 'Z']]",42900,129,"['TOPAZES', 'WAESOME']",[]
"[['S', 'C', 'T', 'T'], ['O', 'O', 'R', 'I'], ['M', 'N', 'E', 'S'], ['I', 'E', 'D', 'L']]",353400,479,"['SCORNED', 'SORTIES', 'MOONRISE', 'SCOTTIES', 'TROMINO', 'SCROMED', 'TRITONE', 'MORTISE', 'COOTIES', 'CROONED', 'COTTIERS', 'SCRIENE', 'SOONERS', 'DEMONRIES', 'TRITONES', 'COTTISED', 'COORIES', 'SORTIED', 'EMOCORES', 'CONDERS', 'MENDERS', 'SCORSED', 'COTTISE', 'CORNELS', 'SONERIS', 'MOONERS', 'EMOCORE', 'TROMINOS', 'RONDELS', 'DEMINERS', 'SCREEDS', 'MINORED', 'MINDERS', 'SONDERS', 'MOTTIES', 'SCOTTIE', 'TORTIES', 'COTTIER', 'COORIED', 'DEMINER', 'SOOTIER', 'MOTTIER', 'MORTISED', 'ENOMOTIES', 'COTISED']",[]
"[['E', 'R', 'A', 'A'], ['N', 'T', 'R', 'O'], ['N', 'C', 'E', 'I'], ['X', 'T', 'O', 'I']]",43600,90,[],[]
"[['O', 'C', 'O', 'I'], ['S', 'L', 'E', 'W'], ['A', 'S', 'R', 'I'], ['E', 'A', 'D', 'F']]",150900,260,"['COWRIES', 'AREOLAS', 'EARLESS', 'SCLERAS', 'RESEALS', 'SCOWRIES', 'AREOLAE', 'WRASSLE', 'SOLERAS', 'CLASSER', 'SCOWRIE', 'SCLERAE', 'LOWRIES', 'CLERIDS']",[]
"[['I', 'T', 'O', 'L'], ['I', 'F', 'S', 'M'], ['R', 'E', 'A', 'F'], ['S', 'T', 'E', 'L']]",272900,397,"['TEASERS', 'AFREETS', 'MASTIER', 'SOFTIES', 'SAETERS', 'RETEAMS', 'MAFTIRS', 'TASTIER', 'LEAFIER', 'LOFTIER', 'FLASERS', 'ELATERS', 'MOTSERS', 'STRIFES', 'STREAMS', 'FEATEST', 'MAESTRI', 'LEAFIEST', 'TRITOMAS', 'MOTIEST', 'STOMATE', 'MASTIEST', 'STOMATES', 'STRIFTS', 'FIESTAS', 'TRITOMA', 'LOFTIEST', 'LEASERS', 'FASTIES', 'OSMATES']",[]
"[['I', 'C', 'P', 'O'], ['W', 'L', 'D', 'S'], ['O', 'T', 'A', 'I'], ['H', 'H', 'E', 'T']]",100400,221,"['HOTHEAD', 'PODALIC', 'HEADCLOTH', 'HOTHEADS']",[]
"[['A', 'B', 'V', 'S'], ['L', 'H', 'I', 'E'], ['I', 'H', 'E', 'A'], ['O', 'W', 'T', 'T']]",30700,94,"['LABIATE', 'ATHEISE']",[]
"[['A', 'O', 'N', 'R'], ['E', 'D', 'I', 'T'], ['D', 'E', 'S', 'V'], ['U', 'H', 'R', 'H']]",150700,251,"['DEADERS', 'STRIDER', 'TRIODES', 'TINDERS', 'REDDISH', 'SHUDDER', 'NODDERS', 'HEDONIST', 'ADONISED', 'REEDITS', 'ADONISE', 'DERVISH', 'RIDDERS', 'RESIDED', 'DEADEST']",[]
"[['D', 'S', 'R', 'H'], ['S', 'A', 'O', 'M'], ['T', 'T', 'N', 'O'], ['O', 'F', 'I', 'H']]",154400,298,"['MONITOR', 'ORATION', 'STATION', 'STATORS', 'RATTOON', 'MONITORS']",[]
"[['E', 'C', 'D', 'F'], ['I', 'A', 'Y', 'E'], ['I', 'R', 'C', 'O'], ['T', 'N', 'U', 'T']]",106400,192,"['INTRICACY', 'FEDARIE', 'UNRACED', 'UNTRACE', 'UNTRACED', 'DECURIA', 'COUNTRY']",[]
"[['A', 'D', 'T', 'E'], ['S', 'N', 'I', 'C'], ['D', 'O', 'A', 'L'], ['E', 'C', 'U', 'O']]",151500,276,"['CALCITE', 'ACTIONS', 'LACONIC', 'ACETINS', 'INOCULA', 'ANALCITE', 'OILCANS', 'CONICAL', 'ANTICAL', 'DEONTIC', 'DECANOIC', 'ACONITE']",[]
"[['D', 'P', 'N', 'E'], ['S', 'O', 'U', 'T'], ['E', 'M', 'A', 'I'], ['A', 'W', 'S', 'O']]",128400,279,"['SPUMONE', 'OPUNTIAS', 'AUTISMS', 'AMAUTIS', 'PNEUMAS', 'ENTAMES', 'OPUNTIA', 'SEAMOUNT', 'UNTAMES', 'EUPNOEA']",[]
"[['A', 'W', 'S', 'E'], ['R', 'O', 'O', 'I'], ['D', 'D', 'N', 'T'], ['N', 'F', 'T', 'A']]",93900,189,"['TANTIES', 'TOONIES', 'TANDOOR', 'ATONIES', 'ROOTIES', 'ISODONT']",[]
"[['F', 'C', 'A', 'S'], ['R', 'S', 'H', 'H'], ['E', 'T', 'R', 'N'], ['E', 'O', 'A', 'U']]",94100,170,"['CHASTER', 'ORNATER', 'SHASTER', 'SHASTRA']",[]
"[['D', 'G', 'E', 'T'], ['N', 'S', 'O', 'H'], ['W', 'N', 'A', 'E'], ['U', 'T', 'F', 'A']]",49400,160,[],[]
"[['D', 'R', 'Q', 'M'], ['M', 'I', 'S', 'C'], ['I', 'L', 'T', 'I'], ['O', 'T', 'N', 'E']]",71000,134,"['MISCITE', 'ENTOILS', 'DISTENT', 'INTIMISM', 'INTIMISTE', 'INTIMIST']",[]
"[['T', 'E', 'G', 'B'], ['A', 'D', 'O', 'O'], ['T', 'E', 'N', 'D'], ['L', 'V', 'R', 'N']]",59000,147,['DOGEATE'],[]
"[['C', 'S', 'N', 'T'], ['A', 'B', 'E', 'I'], ['W', 'N', 'G', 'E'], ['C', 'W', 'L', 'I']]",76500,166,['SANGEET'],[]
"[['O', 'N', 'N', 'V'], ['U', 'E', 'W', 'T'], ['A', 'A', 'E', 'T'], ['W', 'K', 'O', 'R']]",39600,110,['TWEAKER'],[]
"[['T', 'N', 'U', 'B'], ['M', 'R', 'I', 'N'], ['E', 'F', 'T', 'O'], ['I', 'S', 'Y', 'E']]",128900,215,"['NOTIFIES', 'UNIFIES', 'MESTINO', 'RUBIFIES', 'NOTIFIER', 'TONIFIES', 'FIRMEST', 'UNIFIER', 'BITSIER']",[]
"[['E', 'H', 'O', 'G'], ['I', 'N', 'D', 'L'], ['N', 'S', 'O', 'T'], ['A', 'F', 'E', 'S']]",119900,230,"['STOLONS', 'GOLDTONE', 'INFOLDS']",[]
"[['T', 'F', 'I', 'A'], ['G', 'F', 'O', 'N'], ['T', 'E', 'J', 'I'], ['R', 'S', 'S', 'E']]",59200,119,"['IONISES', 'IONISER', 'IONISERS', 'NAIFEST', 'NIFFERS', 'FINISES']",[]
"[['D', 'U', 'V', 'S'], ['T', 'I', 'V', 'I'], ['T', 'E', 'E', 'R'], ['A', 'H', 'S', 'U']]",130600,215,"['DITHERS', 'VUTTIER', 'DIETHERS', 'TETHERS', 'DIVERSE', 'DIVVIER', 'DIETHER', 'TITHERS', 'DIVVIES', 'AETHERS', 'HETTIES']",[]
"[['N', 'R', 'T', 'R'], ['H', 'I', 'E', 'E'], ['C', 'O', 'S', 'I'], ['N', 'T', 'M', 'S']]",199300,301,"['COESITE', 'CHRISOMS', 'TERNION', 'MOSSIER', 'TRICOTS', 'MOCHIEST', 'TRESSIER', 'CHRISMON', 'RETIRES', 'TRICHOSIS', 'OCHRIER', 'HISSIER', 'NOTCHIER', 'HOMIEST', 'CHRISTOMS', 'RETRIES', 'NOISIER', 'MISSIER', 'CISSIER', 'CHRISOM', 'OCHRIEST', 'MOCHIER', 'SERICON', 'CHRISTOM', 'TOSSIER', 'CHRISMS', 'MISSION', 'STOITER']",[]
"[['C', 'O', 'H', 'H'], ['W', 'W', 'Y', 'S'], ['N', 'R', 'R', 'O'], ['I', 'D', 'D', 'T']]",20500,72,[],[]
"[['Y', 'I', 'T', 'T'], ['S', 'O', 'N', 'L'], ['B', 'S', 'E', 'C'], ['O', 'W', 'A', 'I']]",116600,223,"['CASSINE', 'CESSION', 'TINTLESS', 'CASSINO', 'NEWSBOYS', 'CASSONE', 'BOTTLES', 'NEWSBOY']",[]
"[['E', 'T', 'O', 'C'], ['A', 'H', 'O', 'E'], ['W', 'T', 'N', 'L'], ['A', 'Y', 'H', 'P']]",69800,160,['WHATNOT'],[]
"[['P', 'U', 'G', 'M'], ['S', 'N', 'O', 'O'], ['E', 'T', 'N', 'S'], ['E', 'W', 'T', 'A']]",184600,316,"['PUNTEES', 'SANNUPS', 'ATTONES', 'MOONSET', 'SOONEST', 'TANNEST', 'SANTONS', 'GNOMONS', 'NEWTONS', 'SONNETS', 'STANNOUS']",[]
"[['R', 'W', 'A', 'H'], ['I', 'O', 'D', 'A'], ['N', 'O', 'G', 'S'], ['W', 'L', 'H', 'F']]",60500,166,"['DOGSHOW', 'HAGDOWN', 'ROADSHOW']",[]
"[['W', 'T', 'H', 'M'], ['M', 'N', 'O', 'S'], ['A', 'T', 'Y', 'W'], ['E', 'H', 'A', 'E']]",79100,219,[],[]
"[['G', 'N', 'I', 'N'], ['P', 'E', 'T', 'B'], ['A', 'D', 'F', 'O'], ['B', 'E', 'W', 'D']]",46600,130,['WEFTING'],[]
"[['A', 'W', 'B', 'I'], ['D', 'O', 'E', 'A'], ['D', 'E', 'V', 'V'], ['F', 'M', 'Y', 'L']]",28700,91,[],[]
"[['N', 'F', 'C', 'U'], ['L', 'R', 'Y', 'S'], ['A', 'H', 'H', 'N'], ['O', 'A', 'I', 'R']]",21300,69,[],[]
"[['T', 'J', 'W', 'E'], ['H', 'K', 'A', 'Y'], ['T', 'W', 'U', 'D'], ['O', 'N', 'O', 'P']]",29400,112,[],[]
"[['F', 'N', 'R', 'F'], ['U', 'A', 'O', 'W'], ['M', 'I', 'O', 'E'], ['H', 'H', 'I', 'D']]",41800,126,['MIAOWED'],[]
"[['T', 'E', 'A', 'N'], ['P', 'D', 'M', 'H'], ['A', 'C', 'D', 'I'], ['T', 'I', 'E', 'H']]",58900,143,[],[]
"[['B', 'W', 'O', 'N'], ['R', 'I', 'G', 'N'], ['I', 'E', 'L', 'W'], ['S', 'R', 'U', 'C']]",94000,169,"['WURLIES', 'CURLIER', 'CURLIES']",[]
"[['K', 'C', 'W', 'T'], ['U', 'E', 'T', 'R'], ['D', 'L', 'S', 'E'], ['S', 'D', 'O', 'H']]",174100,291,"['WRESTLED', 'LETTRES', 'OLDSTER', 'RESOLED', 'WELSHER', 'HOLSTER', 'HOSTELS', 'OERSTEDS', 'HODDLES', 'CUDDLES', 'WRESTLE', 'WELTERS', 'WRESTED', 'OERSTED', 'TRESTLE', 'KELTERS', 'CULTERS']",[]
"[['S', 'N', 'I', 'V'], ['Y', 'H', 'Y', 'W'], ['A', 'E', 'E', 'B'], ['T', 'M', 'F', 'O']]",37700,136,[],[]
"[['E', 'E', 'D', 'H'], ['N', 'T', 'L', 'T'], ['L', 'K', 'C', 'I'], ['G', 'C', 'M', 'A']]",46700,96,"['TICKLED', 'MACKLED']",[]
"[['N', 'T', 'R', 'U'], ['S', 'H', 'A', 'N'], ['H', 'Y', 'A', 'U'], ['E', 'F', 'Y', 'E']]",41500,126,[],[]
"[['I', 'R', 'E', 'M'], ['Y', 'C', 'A', 'E'], ['H', 'R', 'S', 'M'], ['H', 'Y', 'F', 'A']]",116700,208,"['CAREMES', 'MESARCH', 'RACEMES', 'AMESACE', 'CRAMESY']",[]
"[['E', 'E', 'O', 'K'], ['N', 'I', 'M', 'O'], ['S', 'T', 'A', 'B'], ['I', 'R', 'S', 'Y']]",209900,350,"['BOATMEN', 'TAMEINS', 'RAIMENT', 'INSTARS', 'MARTINS', 'STRAINS', 'TRAINEE', 'RAIMENTS', 'STAMENS', 'MATINEE', 'BOOKMEN', 'SAMITIS']",[]
"[['T', 'N', 'N', 'U'], ['E', 'A', 'I', 'Y'], ['T', 'H', 'S', 'S'], ['H', 'V', 'A', 'E']]",114900,205,"['ENTASIS', 'TENIASES', 'TETANISE', 'TANNISH', 'ENTASES', 'UNNEATH', 'SHENAIS', 'TENNISES', 'TETANISES']",[]
"[['E', 'L', 'B', 'U'], ['H', 'R', 'C', 'T'], ['C', 'O', 'P', 'V'], ['S', 'R', 'O', 'E']]",50400,118,[],[]
"[['K', 'R', 'N', 'E'], ['I', 'H', 'M', 'G'], ['A', 'I', 'L', 'R'], ['D', 'N', 'B', 'S']]",36100,97,[],[]
"[['D', 'I', 'W', 'M'], ['N', 'C', 'I', 'E'], ['A', 'D', 'R', 'T'], ['B', 'S', 'B', 'A']]",139900,242,"['INCITER', 'DANCIER', 'WINDIER', 'INDITER', 'MIDBAND', 'SANDBAR', 'METICAS', 'BANDIER', 'NACRITE', 'INCITERS', 'SANDIER', 'INDITERS', 'REWINDS']",[]
"[['D', 'I', 'W', 'T'], ['E', 'E', 'I', 'L'], ['A', 'N', 'L', 'F'], ['N', 'A', 'H', 'T']]",110200,211,"['TWILLED', 'INHALED', 'ALIENED', 'TWELFTH', 'HALFLIN', 'FLANNIE', 'THALLINE']",[]
"[['S', 'M', 'N', 'E'], ['O', 'E', 'T', 'R'], ['A', 'T', 'P', 'L'], ['M', 'A', 'R', 'S']]",128500,231,"['SPATTER', 'PATTERN', 'RATTENER']",[]
"[['F', 'T', 'H', 'T'], ['N', 'E', 'D', 'Y'], ['W', 'I', 'W', 'E'], ['A', 'O', 'F', 'S']]",76500,179,[],[]
"[['V', 'H', 'N', 'W'], ['U', 'A', 'O', 'H'], ['R', 'T', 'T', 'S'], ['R', 'I', 'E', 'E']]",148100,253,"['RATITES', 'ARTIEST', 'HARRIES', 'NOTATES', 'ARIETTES', 'TARRIEST', 'STIRRAH', 'ARIETTE', 'OATIEST', 'HURRIES', 'IRATEST', 'OARIEST', 'HOTTIES', 'OTARIES', 'HAUTEST', 'TARRIES', 'NOTARIES', 'HOARIEST']",[]
"[['O', 'L', 'P', 'W'], ['A', 'A', 'S', 'N'], ['H', 'T', 'O', 'T'], ['N', 'I', 'U', 'I']]",92600,182,"['SPATHAL', 'HALATION', 'ALATION', 'INTUITS', 'HALATIONS', 'ALATIONS']",[]
"[['D', 'S', 'T', 'O'], ['D', 'I', 'A', 'S'], ['N', 'H', 'W', 'A'], ['E', 'E', 'N', 'H']]",102500,212,"['ENWINDS', 'AWHATOS', 'SIDDHAS']",[]
"[['R', 'C', 'O', 'F'], ['N', 'E', 'I', 'E'], ['L', 'I', 'T', 'T'], ['R', 'N', 'C', 'L']]",71100,129,"['INCITER', 'NITTIER', 'LINTIER', 'REINCITE', 'CITTERN']",[]
"[['O', 'W', 'T', 'E'], ['V', 'L', 'S', 'I'], ['S', 'I', 'Y', 'Y'], ['O', 'H', 'L', 'V']]",54900,101,"['WOLVISHLY', 'OWLISHLY', 'WOLVISH']",[]
"[['E', 'U', 'G', 'C'], ['D', 'T', 'O', 'I'], ['U', 'T', 'A', 'L'], ['A', 'B', 'I', 'C']]",134900,220,"['CALOTTE', 'CLATTED', 'DUBITATE', 'CILIATE', 'CILIATED', 'CLOTTED', 'ABUTTAL', 'ABUTTED', 'CATTABU', 'CLOUTED', 'CIABATTE', 'LIBATED', 'BAILOUT']",[]
"[['C', 'E', 'O', 'S'], ['Y', 'L', 'W', 'C'], ['O', 'A', 'R', 'I'], ['D', 'N', 'N', 'E']]",147000,270,"['SWANNIE', 'SCRAWLY', 'SCOWRIE', 'CELADON', 'SWANNIER']",[]
"[['T', 'S', 'C', 'A'], ['D', 'R', 'S', 'I'], ['V', 'N', 'A', 'E'], ['I', 'E', 'B', 'T']]",116100,232,['ENSEARS'],[]
"[['L', 'W', 'M', 'E'], ['N', 'S', 'C', 'T'], ['O', 'R', 'N', 'P'], ['E', 'A', 'T', 'A']]",64600,135,"['PATRONS', 'SORTANCE', 'NATRONS']",[]
"[['A', 'T', 'E', 'D'], ['A', 'H', 'I', 'P'], ['H', 'R', 'O', 'B'], ['R', 'S', 'O', 'Y']]",123400,249,"['BORATED', 'PIRATED', 'SOPITED', 'HOORAHS']",[]
"[['U', 'D', 'E', 'N'], ['H', 'N', 'R', 'S'], ['O', 'E', 'C', 'U'], ['Y', 'Y', 'V', 'R']]",117600,188,"['UNCURED', 'HERDENS', 'UNCURSED', 'UNCURSE', 'VENDERS', 'UNDERNS', 'RECUSED', 'YONDERS', 'RESURVEY', 'SCERNED']",[]
"[['D', 'G', 'H', 'E'], ['L', 'Y', 'S', 'C'], ['U', 'O', 'R', 'H'], ['B', 'I', 'S', 'A']]",80300,160,"['BORSHCHES', 'RIBULOSE', 'LORCHAS', 'BORSHCH', 'BIRCHES', 'ESCHARS']",[]
"[['S', 'T', 'H', 'W'], ['E', 'R', 'A', 'E'], ['S', 'U', 'A', 'B'], ['F', 'R', 'O', 'I']]",191600,310,"['ROUSERS', 'BEWARES', 'AROUSERS', 'AROUSER', 'AROUSES', 'TABOURS', 'HEARSES', 'HEATERS', 'BEATERS', 'AURATES', 'ABATERS', 'BOURSES']",[]
"[['S', 'B', 'R', 'N'], ['U', 'T', 'T', 'I'], ['I', 'E', 'B', 'S'], ['E', 'D', 'L', 'A']]",149000,244,"['ELASTIN', 'BLASTED', 'RIBLETS', 'TRIBALS', 'TRIBLETS', 'SUBTRIBE', 'SUBTRIST', 'TRIBLET', 'TIDBITS', 'NIBLETS']",[]
"[['E', 'O', 'C', 'V'], ['T', 'E', 'I', 'S'], ['N', 'T', 'A', 'N'], ['H', 'R', 'A', 'O']]",136900,244,"['TETANICS', 'ARTISAN', 'RATTEEN', 'ENTRAIN', 'TRANSIENT', 'TETANIC', 'NASCENT', 'SATANIC', 'ENTRAINS', 'SCOTTIE']",[]
"[['R', 'A', 'O', 'V'], ['L', 'T', 'I', 'E'], ['F', 'M', 'S', 'E'], ['O', 'S', 'D', 'T']]",93400,165,"['ARTIEST', 'ALTOIST', 'OATIEST', 'SOFTIES', 'TOEIEST', 'MISTRAL', 'OESTRAL', 'VESTRAL', 'SOMITAL', 'ARTISTE']",[]
"[['A', 'I', 'P', 'B'], ['S', 'A', 'U', 'N'], ['S', 'P', 'R', 'H'], ['H', 'W', 'E', 'E']]",62800,155,['UNPAPER'],[]
"[['R', 'U', 'A', 'Y'], ['E', 'S', 'C', 'N'], ['I', 'E', 'O', 'C'], ['L', 'T', 'O', 'I']]",123800,232,"['LEISURE', 'ACETOSE', 'SOOTIER', 'CYANOSE', 'NOTECASE', 'CONCEIT', 'CYNOSURE', 'COOTIES', 'CONCURS', 'CONCAUSE']",[]
"[['U', 'A', 'N', 'N'], ['I', 'A', 'S', 'E'], ['T', 'F', 'S', 'I'], ['F', 'G', 'T', 'M']]",65200,127,"['TISANES', 'SIENNAS', 'TANSIES', 'TANNEST', 'FASTIES', 'NASTIES']",[]
"[['F', 'Y', 'I', 'T'], ['S', 'E', 'T', 'A'], ['W', 'I', 'Y', 'R'], ['R', 'E', 'C', 'W']]",98100,194,"['RATITES', 'RATTIER', 'TARTIER', 'CERITES', 'RECRATE', 'RECRATES', 'RECITES']",[]
"[['E', 'A', 'S', 'N'], ['I', 'F', 'G', 'E'], ['T', 'W', 'H', 'D'], ['R', 'R', 'S', 'E']]",26700,77,[],[]
"[['N', 'N', 'Y', 'T'], ['E', 'U', 'U', 'R'], ['A', 'H', 'R', 'O'], ['S', 'H', 'A', 'E']]",36100,99,['HURRAHS'],[]
"[['Y', 'A', 'M', 'O'], ['E', 'P', 'S', 'H'], ['H', 'Y', 'G', 'E'], ['N', 'A', 'T', 'T']]",56100,180,[],[]
"[['R', 'G', 'L', 'O'], ['S', 'D', 'S', 'W'], ['E', 'D', 'T', 'R'], ['O', 'F', 'T', 'E']]",29100,72,['OLDSTER'],[]
"[['E', 'W', 'E', 'S'], ['S', 'O', 'U', 'T'], ['H', 'N', 'R', 'A'], ['O', 'R', 'H', 'F']]",147900,283,"['UNSHOES', 'STARNOSE']",[]
"[['S', 'B', 'L', 'V'], ['O', 'H', 'T', 'I'], ['E', 'O', 'H', 'E'], ['R', 'G', 'I', 'D']]",108900,197,"['BOOGIED', 'SHOOGIE', 'LITHOID', 'EIGHTHS', 'SOOTHED', 'SOOGIED', 'SHOOTIE', 'SOOTHER', 'BLITHER', 'DIETHER', 'SHOOGIED', 'THEROID']",[]
"[['T', 'D', 'L', 'A'], ['N', 'D', 'L', 'I'], ['A', 'I', 'N', 'E'], ['H', 'S', 'H', 'M']]",106400,195,"['HIDLINS', 'HANDLINE', 'ANILINE', 'MEHNDIS', 'INSHELL', 'ANILINS']",[]
"[['Y', 'A', 'L', 'A'], ['Y', 'O', 'H', 'M'], ['S', 'D', 'H', 'V'], ['R', 'E', 'E', 'S']]",75000,169,"['SHODERS', 'HAYSEED']",[]
"[['L', 'S', 'N', 'P'], ['H', 'H', 'I', 'O'], ['O', 'D', 'T', 'E'], ['T', 'A', 'L', 'E']]",102600,208,"['TOADLET', 'DOTATIONS', 'ELATIONS', 'TOADISH', 'DALETHS', 'ELATION', 'ETHIONS', 'DALTONS', 'DOTATION']",[]
"[['P', 'R', 'Y', 'Y'], ['L', 'O', 'I', 'T'], ['E', 'B', 'A', 'I'], ['H', 'T', 'K', 'L']]",71400,163,"['LOBTAIL', 'PROBITY', 'LIKABLE', 'PROBATE']",[]
"[['O', 'M', 'R', 'H'], ['E', 'T', 'A', 'D'], ['K', 'K', 'H', 'B'], ['Y', 'A', 'O', 'B']]",47600,151,[],[]
"[['I', 'S', 'N', 'A'], ['N', 'R', 'L', 'R'], ['H', 'C', 'E', 'B'], ['T', 'O', 'L', 'U']]",60900,121,"['INSNARER', 'BRANSLE', 'SNARLER', 'CHOLERS', 'CHOLERA', 'INSNARE']",[]
"[['D', 'I', 'M', 'K'], ['N', 'F', 'O', 'A'], ['D', 'S', 'T', 'S'], ['A', 'I', 'N', 'T']]",90400,189,"['SAINTFOIN', 'MASTOID']",[]
"[['O', 'C', 'H', 'Y'], ['E', 'I', 'E', 'B'], ['L', 'R', 'S', 'G'], ['N', 'N', 'A', 'R']]",129700,237,"['YECHIER', 'HIRAGES', 'CEILERS', 'LECHERS', 'HEGARIS', 'ELICHES', 'COILERS']",[]
"[['L', 'S', 'T', 'T'], ['S', 'A', 'M', 'R'], ['E', 'O', 'L', 'Y'], ['N', 'E', 'R', 'I']]",141300,264,"['SLALOMS', 'AMYLOSE', 'ENOLASE', 'MALENESS', 'AMYLENES', 'MOLASSE', 'SEALERY', 'MORENESS', 'LASSOER', 'ALMONER', 'LOESSAL', 'AMYLENE']",[]
"[['D', 'D', 'A', 'C'], ['I', 'A', 'R', 'G'], ['E', 'C', 'F', 'N'], ['O', 'I', 'E', 'T']]",62600,116,"['ENGRAFT', 'DRAGNET', 'CADDICE', 'FARADIC', 'CARDIAE', 'CARDIAC', 'ENGRACE']",[]
"[['W', 'C', 'M', 'E'], ['O', 'O', 'L', 'R'], ['N', 'V', 'E', 'B'], ['B', 'R', 'T', 'S']]",124000,202,"['COVERTS', 'OMELETS', 'COOLEST', 'CONVERT', 'OVERBLOW', 'MONOCLES', 'REMOVER', 'REMOVES', 'CONVERTS', 'MONOCLE']",[]
